geography,year,nzdep_mean_score,pct_q1,pct_q2,pct_q3,pct_q4,pct_q5,sa1_count,source
New Zealand,2018,1001.3767401000135,9.494526287336127,9.592512501689418,9.812136775239898,10.038518718745776,10.058791728611975,29596,NZDep2018 SA1 index — University of Otago
Northern | Te Tai Tokerau,2018,1006.3008566318366,8.123882142520946,10.288995575637767,10.26075496564059,10.976183752235714,10.307822648969218,10623,NZDep2018 SA1 index — University of Otago
Midland | Te Manawa Taki,2018,1023.4963880288958,6.209150326797386,6.828345373237014,7.653938768489852,7.963536291709667,9.39112487100103,5814,NZDep2018 SA1 index — University of Otago
Central | Te Ikaroa,2018,1000.1015651582171,11.228308948621981,10.037427696495406,8.880571623001021,9.44198707043212,9.748213678121811,5878,NZDep2018 SA1 index — University of Otago
South Island | Te Waipounamu,2018,977.5589891498421,12.718033237192694,10.42439225381129,11.633017442658975,10.80895481389919,10.479329762395276,7281,NZDep2018 SA1 index — University of Otago
